priority,source,family,dataset,role,current_evidence_tier,quantile_grid_levels_seen,calibration_windows,test_windows,total_windows,needs_q9_fullgrid_rerun,needs_history_context_export,reason,recommended_action
P0,moirai2_loop_m8_loop_seattle_short_seasonal_naive,moirai,LOOP_SEATTLE/H/short,positive_control,q3_interval_proxy,3,4,4,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,moirai_1_1_base_scaling_covid_deaths_d_short_auto_ets,moirai,covid_deaths/D/short,failure_target,q3_interval_proxy,3,3,5,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,moirai_1_1_large_scaling_covid_deaths_d_short_auto_ets,moirai,covid_deaths/D/short,failure_target,q3_interval_proxy,3,5,3,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,moirai_1_1_small_scaling_covid_deaths_d_short_auto_ets,moirai,covid_deaths/D/short,failure_target,q3_interval_proxy,3,4,4,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,moirai_1_1_base_scaling_loop_seattle_h_short_seasonal_naive,moirai,loop_seattle/H/short,positive_control,q3_interval_proxy,3,5,3,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,moirai_1_1_large_scaling_loop_seattle_h_short_seasonal_naive,moirai,loop_seattle/H/short,positive_control,q3_interval_proxy,3,6,2,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,moirai_1_1_small_scaling_loop_seattle_h_short_seasonal_naive,moirai,loop_seattle/H/short,positive_control,q3_interval_proxy,3,4,4,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun Moirai2 or Moirai1; Moirai1 now exports sample-derived q10..q90 in the raw runner
P0,timesfm_2_5_finance_fred_finance_fred_stress,timesfm,FRED finance stress seed,stress_target,q3_interval_proxy,3,28,28,56,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
P0,timesfm_2_5_loop_m32_loop_seattle_short_seasonal_naive,timesfm,LOOP_SEATTLE/H/short,positive_control,q3_interval_proxy,3,17,15,32,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
P0,timesfm_2_5_loop_m8_loop_seattle_short_seasonal_naive,timesfm,LOOP_SEATTLE/H/short,positive_control,q3_interval_proxy,3,2,6,8,1,0,probabilistic result is q3/proxy rather than native q9/full-grid; non-Chronos slice is small relative to the clean Chronos 64-window blocks; protected/safety evidence is less balanced outside Chronos,rerun TimesFM exporter and persist all quantile columns returned by the continuous quantile head
