job_id,domain,dataset,dataset_name,hub_dataset_name,frequency,term,family,model,model_id,windows_requested,series_requested,windows_per_series,context_cap,baseline_context_cap,baseline_validation_folds,baseline_season_length,moirai_samples,quantile_grid,data_path,data_root_path,output_slug,status_path,download_command,command,status
external_v1_chronos_m4_yearly_a_short,Econ/Fin,m4_yearly/A/short,m4_yearly,m4_yearly,A,short,chronos,chronos_bolt_small,amazon/chronos-bolt-small,16,16,1,512,2048,3,6,,"q10,q20,q30,q40,q50,q60,q70,q80,q90",data/gift-eval/m4_yearly/A,data/gift-eval/m4_yearly,external_v1_chronos_m4_yearly_a_short,results/raw_forecasts/external_v1_chronos_m4_yearly_a_short_status.json,.venv-chronos/bin/python scripts/download_gift_eval_subset.py --dataset-name m4_yearly,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name m4_yearly --data-path data/gift-eval/m4_yearly/A --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 6 --domain Econ/Fin --regime external_locked --output-slug external_v1_chronos_m4_yearly_a_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",ready_not_run
external_v1_moirai_m4_yearly_a_short,Econ/Fin,m4_yearly/A/short,m4_yearly,m4_yearly,A,short,moirai,moirai_1_1_small,Salesforce/moirai-1.1-R-small,16,16,1,512,2048,3,6,100,"q10,q20,q30,q40,q50,q60,q70,q80,q90",data/gift-eval/m4_yearly/A,data/gift-eval/m4_yearly,external_v1_moirai_m4_yearly_a_short,results/raw_forecasts/external_v1_moirai_m4_yearly_a_short_status.json,.venv-chronos/bin/python scripts/download_gift_eval_subset.py --dataset-name m4_yearly,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name m4_yearly --data-path data/gift-eval/m4_yearly/A --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 6 --domain Econ/Fin --regime external_locked --output-slug external_v1_moirai_m4_yearly_a_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7,ready_not_run
external_v1_timesfm_m4_yearly_a_short,Econ/Fin,m4_yearly/A/short,m4_yearly,m4_yearly,A,short,timesfm,timesfm_2_5,google/timesfm-2.5-200m-pytorch,16,16,1,512,2048,3,6,,"q10,q20,q30,q40,q50,q60,q70,q80,q90",data/gift-eval/m4_yearly/A,data/gift-eval/m4_yearly,external_v1_timesfm_m4_yearly_a_short,results/raw_forecasts/external_v1_timesfm_m4_yearly_a_short_status.json,.venv-chronos/bin/python scripts/download_gift_eval_subset.py --dataset-name m4_yearly,.venv-chronos/bin/python scripts/run_timesfm_gift_eval_raw.py --dataset-name m4_yearly --data-path data/gift-eval/m4_yearly/A --term short --model-id google/timesfm-2.5-200m-pytorch --model-name timesfm_2_5 --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 6 --domain Econ/Fin --regime external_locked --output-slug external_v1_timesfm_m4_yearly_a_short --export-history-sidecar,ready_not_run
external_v1_chronos_m4_monthly_m_short,Econ/Fin,m4_monthly/M/short,m4_monthly,m4_monthly,M,short,chronos,chronos_bolt_small,amazon/chronos-bolt-small,16,16,1,512,2048,3,18,,"q10,q20,q30,q40,q50,q60,q70,q80,q90",data/gift-eval/m4_monthly/M,data/gift-eval/m4_monthly,external_v1_chronos_m4_monthly_m_short,results/raw_forecasts/external_v1_chronos_m4_monthly_m_short_status.json,.venv-chronos/bin/python scripts/download_gift_eval_subset.py --dataset-name m4_monthly,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name m4_monthly --data-path data/gift-eval/m4_monthly/M --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 18 --domain Econ/Fin --regime external_locked --output-slug external_v1_chronos_m4_monthly_m_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",ready_not_run
external_v1_moirai_m4_monthly_m_short,Econ/Fin,m4_monthly/M/short,m4_monthly,m4_monthly,M,short,moirai,moirai_1_1_small,Salesforce/moirai-1.1-R-small,16,16,1,512,2048,3,18,100,"q10,q20,q30,q40,q50,q60,q70,q80,q90",data/gift-eval/m4_monthly/M,data/gift-eval/m4_monthly,external_v1_moirai_m4_monthly_m_short,results/raw_forecasts/external_v1_moirai_m4_monthly_m_short_status.json,.venv-chronos/bin/python scripts/download_gift_eval_subset.py --dataset-name m4_monthly,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name m4_monthly --data-path data/gift-eval/m4_monthly/M --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 18 --domain Econ/Fin --regime external_locked --output-slug external_v1_moirai_m4_monthly_m_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7,ready_not_run
external_v1_timesfm_m4_monthly_m_short,Econ/Fin,m4_monthly/M/short,m4_monthly,m4_monthly,M,short,timesfm,timesfm_2_5,google/timesfm-2.5-200m-pytorch,16,16,1,512,2048,3,18,,"q10,q20,q30,q40,q50,q60,q70,q80,q90",data/gift-eval/m4_monthly/M,data/gift-eval/m4_monthly,external_v1_timesfm_m4_monthly_m_short,results/raw_forecasts/external_v1_timesfm_m4_monthly_m_short_status.json,.venv-chronos/bin/python scripts/download_gift_eval_subset.py --dataset-name m4_monthly,.venv-chronos/bin/python scripts/run_timesfm_gift_eval_raw.py --dataset-name m4_monthly --data-path data/gift-eval/m4_monthly/M --term short --model-id google/timesfm-2.5-200m-pytorch --model-name timesfm_2_5 --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 18 --domain Econ/Fin --regime external_locked --output-slug external_v1_timesfm_m4_monthly_m_short --export-history-sidecar,ready_not_run
external_v1_chronos_ett1_w_short,Energy,ett1/W/short,ett1,ett1,W,short,chronos,chronos_bolt_small,amazon/chronos-bolt-small,16,16,1,512,2048,3,8,,"q10,q20,q30,q40,q50,q60,q70,q80,q90",data/gift-eval/ett1/W,data/gift-eval/ett1,external_v1_chronos_ett1_w_short,results/raw_forecasts/external_v1_chronos_ett1_w_short_status.json,.venv-chronos/bin/python scripts/download_gift_eval_subset.py --dataset-name ett1,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name ett1 --data-path data/gift-eval/ett1/W --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 8 --domain Energy --regime external_locked --output-slug external_v1_chronos_ett1_w_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",ready_not_run
external_v1_moirai_ett1_w_short,Energy,ett1/W/short,ett1,ett1,W,short,moirai,moirai_1_1_small,Salesforce/moirai-1.1-R-small,16,16,1,512,2048,3,8,100,"q10,q20,q30,q40,q50,q60,q70,q80,q90",data/gift-eval/ett1/W,data/gift-eval/ett1,external_v1_moirai_ett1_w_short,results/raw_forecasts/external_v1_moirai_ett1_w_short_status.json,.venv-chronos/bin/python scripts/download_gift_eval_subset.py --dataset-name ett1,.venv-moirai/bin/python scripts/run_moirai_gift_eval_raw.py --dataset-name ett1 --data-path data/gift-eval/ett1/W --term short --model-id Salesforce/moirai-1.1-R-small --model-name moirai_1_1_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 8 --domain Energy --regime external_locked --output-slug external_v1_moirai_ett1_w_short --export-history-sidecar --model-family moirai1 --num-samples 100 --seed 7,ready_not_run
external_v1_timesfm_ett1_w_short,Energy,ett1/W/short,ett1,ett1,W,short,timesfm,timesfm_2_5,google/timesfm-2.5-200m-pytorch,16,16,1,512,2048,3,8,,"q10,q20,q30,q40,q50,q60,q70,q80,q90",data/gift-eval/ett1/W,data/gift-eval/ett1,external_v1_timesfm_ett1_w_short,results/raw_forecasts/external_v1_timesfm_ett1_w_short_status.json,.venv-chronos/bin/python scripts/download_gift_eval_subset.py --dataset-name ett1,.venv-chronos/bin/python scripts/run_timesfm_gift_eval_raw.py --dataset-name ett1 --data-path data/gift-eval/ett1/W --term short --model-id google/timesfm-2.5-200m-pytorch --model-name timesfm_2_5 --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 8 --domain Energy --regime external_locked --output-slug external_v1_timesfm_ett1_w_short --export-history-sidecar,ready_not_run
external_v1_chronos_electricity_15t_short,Energy,electricity/15T/short,electricity,electricity,15T,short,chronos,chronos_bolt_small,amazon/chronos-bolt-small,16,16,1,512,2048,3,48,,"q10,q20,q30,q40,q50,q60,q70,q80,q90",data/gift-eval/electricity/15T,data/gift-eval/electricity,external_v1_chronos_electricity_15t_short,results/raw_forecasts/external_v1_chronos_electricity_15t_short_status.json,.venv-chronos/bin/python scripts/download_gift_eval_subset.py --dataset-name electricity,".venv-chronos/bin/python scripts/run_chronos_bolt_gift_eval_raw.py --dataset-name electricity --data-path data/gift-eval/electricity/15T --term short --model-id amazon/chronos-bolt-small --model-name chronos_bolt_small --max-series 16 --max-windows 1 --context-cap 512 --baseline-mode rolling_pre_origin --baseline-context-cap 2048 --baseline-season-length 48 --domain Energy --regime external_locked --output-slug external_v1_chronos_electricity_15t_short --export-history-sidecar --quantile-levels 0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9",ready_not_run
